"Data Source","World Development Indicators",

"Last Updated Date","2020-05-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","20353.1064427559","23935.439005062","28749.6520899163","32261.7643203565","32936.9740462437","34198.8796385132","34293.2512640141","34632.5719960278","35423.7288135593","34687.0906097287","33885.1492347462","35317.4681108553","35267.3607322131","35010.8045196346","36911.0541203923","35025.9369542752","33132.4772187003","33081.8008830529","35077.2102971086","35043.9013441827","35130.0678744719","35625.4051415163","35545.3320885405","31775.6434525832","30540.2826820368","31476.0010191482","30889.2355694228","31999.1469479154","32079.3262281496","31761.2443814033","31533.6791517278","31803.4280507944","","",
"Afghanistan","AFG","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8060.02279125888","8371.8136423276","8131.10863551295","8717.19349954785","8913.62302547845","9896.15154106177","10053.9171062289","11915.4369285686","13257.6076201109","12902.1604412039","14060.11380242","14337.6841582953","14242.2997726695","14011.1633879196","13935.2652964995","13946.7032129908","13758.397847643","",
"Angola","AGO","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","49617.1436686426","45791.6881283118","44193.3227060934","44435.6643573","45452.5482646668","45403.6068737437","45099.0895946862","45319.3488825107","46450.8224109482","44901.2677641414","41911.9514145531","40943.4249978835","37308.890593825","27454.9520617475","26939.3984721426","29999.5743770296","32985.377230123","34264.5008227107","34732.1166155293","34355.1760589944","34263.1232413972","34544.8050729879","37979.8589701929","37815.8427355736","40533.6807877325","45004.8845602581","48417.3029783124","53205.779813534","56992.3676717629","55391.6603954619","55989.4299880212","55865.7792741495","58495.0794272933","59250.8859507576","59973.6476830279","58493.0691450529","55090.9737802056","53212.4248392212","50398.6690971517","",
"Albania","ALB","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","207072.248787522","214627.587384069","216335.679728889","214135.973837716","207053.432492531","206451.744850228","213914.264290733","208032.699338668","201245.586061465","215179.060240757","191105.030758773","138423.44931875","129256.285495801","142479.138050009","155259.17713784","177033.494113779","194347.688297439","174211.120290724","190791.058420408","216752.296239873","233298.876960286","255021.624594427","267400.175679529","283245.32111951","300103.745070515","318324.216574735","339239.173185918","362252.90966348","392421.462389145","408310.173221762","425553.262403532","437560.497660226","444496.509275786","449773.596141332","458703.518461087","470248.408114269","486613.6029298","505672.369553468","527934.670817785","",
"Andorra","AND","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","24589.5246333828","24441.0814194609","25122.7205116763","25794.102436951","26054.7493224932","25185.0350105846","25139.405859584","25068.8413536358","24707.2946616474","23950.152220116","23631.4331660521","22698.288","22032.9166027509","21461.0884087406","20903.4538472346","20480.4125560538","20275.2348603736","20544.0181611805","20743.3953285482","20909.6915039658","20879.871213928","20594.6251169028","20003.4472218449","19120.7705302521","19043.604512022","19209.2310101801","19943.1152889994","21762.6502090879","22522.6949580618","23362.8724561131","23809.9097721364","24171.3072273949","24740.5387657211","26563.0892842502","27446.2252767431","28496.0756717005","29006.8277505463","28424.9673455566","25618.2776466099","24497.2354758889","23188.3148409099","22296.2016549847","22287.3572979728","22823.4332829871","23803.2898640375","24373.613977516","25063.4565377699","25593.5637199517","26008.8824247461","",
"Arab World","ARB","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","380489.020082035","381083.036954361","401472.689516743","347725.812320169","377050.55030915","426864.785303514","415342.626275522","364751.28338968","329438.082019831","325322.457690319","297055.548016197","238611.222016344","232661.299832544","213544.110072978","226182.248515224","252596.71144456","240470.551164518","234503.413819828","224321.337199323","227119.202357059","230198.209300689","231648.837237695","238215.685369486","226864.527867414","221420.566756821","232291.218169902","223512.999380208","217365.017447224","221639.56182387","221555.757133342","206001.249502803","195872.903455622","173650.134790377","155922.582889284","132298.353847716","124473.157155308","127196.531220125","130068.535078557","135804.764343204","141373.057733487","147809.85138016","150738.170576158","149462.736818009","149773.524209185","",
"Argentina","ARG","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","8931.45118822149","9264.48609689048","9039.73818478804","8426.10465002118","9137.03479457553","9949.93574815649","9737.35848812807","9900.79675385745","10226.2288704858","11049.4693172079","11212.9460529863","11662.3009547247","11662.9786993301","11797.9101437495","12252.3399765744","12057.7918351707","11634.9989639541","12256.6553408155","11531.5002818915","12520.6439819666","12516.933857866","11682.2403091569","11412.6427185542","11718.7277102351","11712.6527242748","10928.773158767","11418.8531796435","11545.1515828435","11244.6019059841","10284.220180485","9885.79888093815","10638.5374981106","11328.7239296131","12099.4080531559","12644.5435313862","12134.6958166335","12653.4053261762","13522.0305087055","13884.5499429215","13265.9714075255","13017.2460625807","12308.1847528784","10849.0769178469","11681.9112479596","12603.0226562567","13577.1701675042","14521.5366716079","15672.2578188676","16147.0453136914","15040.2901203346","16439.0564015752","17226.2707236215","16856.718216504","17070.0712000244","16459.2049590457","16727.4347429468","16207.200833909","16468.0204553494","15897.0122263645","",
"Armenia","ARM","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","737622.047664067","657435.92163544","389567.254257197","363705.956038284","392620.291460736","428362.564602897","460519.607565255","481149.233456183","520325.673379147","540918.172580189","576458.464759637","635462.010655305","723217.09297167","829147.691001653","921195.361179983","1055769.26355857","1204386.01673187","1381980.16004812","1490039.08549885","1287847.21400842","1321107.77536311","1383575.38913096","1479237.7789697","1521009.81248516","1567748.29225214","1610643.90359703","1608042.7037007","1723560.59893867","1808906.1349845","",
"American Samoa","ASM","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12474.6106973595","12486.5555256789","12516.546304519","12491.1856552836","12062.8690341246","12456.0952625717","12314.7568357337","11961.2582255703","12143.5831594715","12249.143636005","11730.4686798283","11397.6989212572","11489.3083113764","11646.2409517666","11338.15324447","10697.5907946782","10961.8678445867","",
