"Data Source","World Development Indicators",

"Last Updated Date","2020-05-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","External balance on goods and services (current US$)","NE.RSB.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-20670391.0614525","-28491620.1117318","-56983240.2234637","-66480446.9273743","-81005586.5921788","69832402.2346369","37430167.5977654","-86592178.7709497","-156983240.223464","-77653631.2849162","-218994413.407821","-297206703.910614","-278212290.502793","-287709497.206704","-312290502.793296","-394972067.039106","-407262569.832402","-435754189.944134","-360335195.530726","-262569832.402235","-162011173.184358","-126815642.458101","-119553072.625698","","",
"Afghanistan","AFG","External balance on goods and services (current US$)","NE.RSB.GNFS.CD","-15555546.6666667","-19999991.1111111","-24444431.1111111","-57777795.5555556","-73333306.6666667","-102222208.888889","-139999993.333333","-124444444.444444","-86666671.1111111","-68888895.5555556","-37777795.5555556","-95555560","-53333333.3333333","-31111124.4444444","-17777777.7777778","-37777771.1111111","-42222228.8888889","-93333344.4444444","-100000017.777778","","","","","","","","","","","","","","","","","","","","","","","","-1522699485.49411","-1247408379.0193","-1554565026.76703","-2628099154.96371","-3428938421.3073","-4206998304.27131","-4667706503.55474","-5468748479.91866","-7004823163.75546","-8006541670.48175","-8731449178.46822","-7311664111.54817","-7299000000.00424","-6320419999.96744","-6930341541.32209","-7961057594.88563","","",
"Angola","AGO","External balance on goods and services (current US$)","NE.RSB.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2448972993.08063","39505691.8382983","1355564642.4781","844580149.397571","3104341081.18849","9043668417.87031","16924600681.116","18112418699.4255","20882140486.7699","-3467223302.68429","15890559562.6822","23875358227.1959","25713223279.0045","20072067428.6638","14654472684.2885","-3926557313.09246","2911167423.33328","7023803450.54124","","",
"Albania","ALB","External balance on goods and services (current US$)","NE.RSB.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","-37797203.1333248","-43519825.561837","-8912474.99999994","-2074975.00000006","-60287524.9999999","-64875012.5","-175000000","-232016659.722222","-546433224.269483","-575597170.361298","-548018912.88932","-534278929.852477","-692875236.007269","-565335446.489434","-641664593.807886","-556580521.361332","-808260374.423643","-934409230.126688","-1158057359.45381","-1421155653.36692","-1624605875.48919","-2000647539.8592","-2121524330.45134","-2851523478.9263","-3458246061.12908","-2964491182.70422","-2455106776.8366","-2930802319.24278","-2295819737.74456","-2304979620.26598","-2510965195.03371","-1966093260.76049","-1999120032.15701","-1960014340.92613","-2071014879.2657","",
"Andorra","AND","External balance on goods and services (current US$)","NE.RSB.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","External balance on goods and services (current US$)","NE.RSB.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","External balance on goods and services (current US$)","NE.RSB.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8733832539.14227","6517631041.52484","11870388019.0606","15540550034.0367","28208386657.5902","39503262083.0497","20556024506.467","29093805309.7345","14819060585.4322","59717358747.4472","99894894486.0449","135765282505.106","139735057862.491","123478284547.311","94976174268.2097","90183798502.3826","93260721579.3057","107202178352.621","",
"Argentina","ARG","External balance on goods and services (current US$)","NE.RSB.GNFS.CD","","","-1147183292.05851","396.482125076288","391.765795402346","588235263.814804","476190458.735397","606060620.255356","285714230.396195","0","273421120.491353","-199999955.329714","125000067.999476","1000000034.35845","444444349.714867","-81081003.1574088","1665000247.33942","1300000007.90071","1680327852.15191","125448026.281332","-1094188525.38844","-354736981.047212","2166280922.49493","3447293429.5718","2241000056.61242","4830000122.01607","2038888857.97962","330476193.099646","4189772694.54888","4965320039.48227","8096966435.702","3029889879.39171","-3511003028.4676","-5692332332.33233","-7914860000","-1059485000","-1767000000","-6485300000","-7530100000","-4900400000","-1846455600","3508536600","14670786469.0802","14311606659.1997","11530324282.1261","11805942344.4323","13069507211.5385","12594785132.7093","13446803975.2178","16864736858.9572","12270934023.3519","8971758594.68138","10642160447.0661","-549718918.473343","2127192190.98412","-6393090842.8055","-5796639840.90201","-17596301454.473","-11122187439.0461","",
"Armenia","ARM","External balance on goods and services (current US$)","NE.RSB.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-255694325.045412","-400778635.94155","-272780151.061904","-162600078.793249","-444172297.721832","-561763761.230882","-523000182.424414","-623026898.078568","-640769078.295342","-536001572.363095","-519333636.363842","-438107591.972039","-409449725.298683","-501967966.549752","-556792576.623863","-706670870.413813","-1014567335.28763","-1838054414.89995","-2986491459.60348","-2380770049.15998","-2267574442.57555","-2393250593.4885","-2212354765.48421","-2206270016.74944","-2145601387.5752","-1280887339.94911","-1014735429.50691","-1403022561.48745","-1949003913.1245","",
"American Samoa","ASM","External balance on goods and services (current US$)","NE.RSB.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-41000000","-58000000","-107000000","-116000000","-139000000","-116000000","-113000000","-26000000.0000001","-173000000","-224000000","-161000000","-184000000","-253000000","-231000000","-208000000","-254000000","-194000000","",
